                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.73033,                 1.5106,                 1.1409,                0.64032,                0.66505,                0.69828,                0.59309,                0.56735,                 1.1398,                 1.0728,               0.007327,               0.007327,               0.007327
                     56,                0.73246,                 1.5057,                 1.1418,                0.64355,                0.65328,                0.70006,                0.59586,                0.56696,                 1.1276,                 1.0725,              0.0072775,              0.0072775,              0.0072775
                     57,                0.72694,                 1.4841,                 1.1367,                0.67815,                0.65496,                0.70949,                0.60586,                 0.5606,                  1.103,                 1.0682,               0.007228,               0.007228,               0.007228
                     58,                0.72668,                 1.4587,                 1.1366,                0.67915,                0.66019,                0.71622,                0.60998,                 0.5645,                 1.0913,                 1.0719,              0.0071785,              0.0071785,              0.0071785
                     59,                0.71407,                 1.4366,                 1.1317,                 0.6772,                0.65929,                 0.7143,                0.61043,                0.55777,                  1.101,                 1.0692,               0.007129,               0.007129,               0.007129
                     60,                0.72601,                 1.4504,                 1.1367,                0.66777,                0.65262,                0.70876,                0.60441,                0.56011,                 1.1054,                 1.0687,              0.0070795,              0.0070795,              0.0070795
                     61,                0.71169,                 1.4187,                 1.1277,                0.63955,                0.68603,                0.71884,                0.61463,                0.55282,                 1.0784,                 1.0634,                0.00703,                0.00703,                0.00703
                     62,                0.72182,                 1.4462,                 1.1416,                0.67168,                0.66642,                0.72123,                0.61782,                0.55196,                 1.0698,                 1.0604,              0.0069805,              0.0069805,              0.0069805
                     63,                0.71752,                 1.4108,                 1.1309,                0.68597,                0.66761,                0.72508,                  0.624,                0.54833,                 1.0682,                 1.0587,               0.006931,               0.006931,               0.006931
                     64,                 0.7098,                 1.3961,                 1.1272,                0.68055,                0.67938,                 0.7314,                0.62943,                0.54843,                 1.0506,                 1.0587,              0.0068815,              0.0068815,              0.0068815
